,index,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name
36,559226,71759537,3568103198652,8087271933502976839,weeklyinform.com,1.0,1,01/10/2011,17:43:34,,,,,,,99,2,3,8,2,0,1,1,0,65674,dermatalskincare.com
37,559272,71759537,3647647322047,8087271933502976839,weeklyinform.com,2.0,1,01/13/2011,18:13:37,,,,,,,99,2,3,8,2,0,1,1,0,65674,dermatalskincare.com
38,561484,71768641,3265551994804,1354232705423967177,internetnews10.com,5.0,4,01/02/2011,3:27:34,,,,,,,99,4,2,8,5,1,1,1,0,98277,theinstantwealthbuilder.com
39,566824,71786769,3492174630843,8087271933502976839,,1.0,1,01/09/2011,18:27:54,,,,,,,99,4,2,11,1,1,1,1,0,83646,dermatalskincare.com
40,578128,71910849,3481111433167,10093940193322575519,google.com,8.0,1,01/29/2011,16:06:52,,,,,,,99,3,5,3,1,1,2,1,0,25704,bigdeal.com
41,599134,72015736,3445187153850,11385444773187580308,shopcompare.net,1.0,1,01/08/2011,21:07:46,,,,,,,99,2,5,7,7,1,1,1,0,44077,wikkit.org
42,627972,72156772,3594396372935,6212936584531552900,cnbc18.org,3.0,2,01/21/2011,2:46:22,,,,,,,99,3,3,4,7,1,1,1,0,20708,homecashflowsolution.com
43,628133,72156772,3625270906813,10403549969693689745,puzz.com,1.0,1,01/11/2011,8:14:19,,,,,,,99,3,3,4,7,1,1,1,0,20708,home-online-jobs.org
44,628184,72156772,3625274707901,10403549969693689745,,3.0,2,01/11/2011,4:22:40,,,,,,,99,3,3,4,7,1,1,1,0,20708,home-online-jobs.org
45,629001,72156772,3758431080387,10403549969693689745,,3.0,13,01/17/2011,4:23:02,,,,,,,99,3,3,4,7,1,1,1,0,20708,home-online-jobs.org
46,630493,72158562,3624157384640,1549148620406576784,,2.0,0,01/14/2011,5:12:24,,,,,,,99,2,3,1,2,1,1,1,0,47905,getleanspa.com
47,644919,72303031,3629767331773,14325437869847223981,,3.0,0,01/11/2011,18:21:33,,,,,,,99,4,4,3,7,1,1,1,0,80127,eprofits.com
48,644931,72303031,3629768380349,6212936584531552900,new8reports.com,2.0,1,01/11/2011,17:42:19,,,,,,,99,4,4,3,7,1,1,1,0,80127,homecashflowsolution.com
49,644933,72303031,3629768576957,4138040089195024334,onlinecareerjournal.com,4.0,8,01/11/2011,14:48:50,,,,,,,99,4,4,3,7,1,1,1,0,80127,msicourse.com
50,645192,72303031,3676958035903,4138040089195024334,,3.0,3,01/13/2011,16:36:04,,,,,,,99,4,4,3,7,1,1,1,0,80127,msicourse.com
51,648330,72309250,3565877858241,8087271933502976839,live9.org,2.0,1,01/15/2011,23:08:26,,,,,,,99,2,3,9,7,0,1,1,0,66012,dermatalskincare.com
52,683638,72661516,3679249633228,10093940193322575519,,8.0,3,01/26/2011,21:39:11,,,,,,,99,3,2,11,4,1,1,1,0,21221,bigdeal.com
53,720946,73109409,2998858747827,4138040089195024334,onlinecareerjournal.com,2.0,0,01/01/2011,23:31:43,,,,,,,99,2,1,9,4,0,1,1,0,60613,msicourse.com
54,733531,73148000,3455756341177,10403549969693689745,,1.0,1,01/07/2011,2:44:00,,,,,,,99,1,2,5,5,1,1,1,0,11726,home-online-jobs.org
55,733547,73148000,3527374671800,10403549969693689745,,3.0,0,01/06/2011,23:17:34,,,,,,,99,1,2,5,5,1,1,1,0,11726,home-online-jobs.org
56,791963,73563765,3744407424971,10093940193322575519,ebay.com,2.0,0,01/25/2011,1:55:16,,,,,,,99,3,4,8,1,1,5,1,1,78521,bigdeal.com
57,820386,73641755,3756225007556,11385444773187580308,savingmore.com,1.0,1,01/18/2011,22:00:36,,,,,,,99,2,2,11,3,0,1,1,0,43224,wikkit.org
58,820860,73644491,3525929471930,8087271933502976839,,1.0,1,01/08/2011,19:22:35,,,,,,,99,3,2,11,1,1,1,1,0,24064,dermatalskincare.com
59,825109,73652665,3750320738251,10093940193322575519,,2.0,0,01/25/2011,3:00:29,,,,,,,99,3,1,11,6,0,2,1,0,20009,bigdeal.com
60,825110,73652665,3750320869323,11385444773187580308,,2.0,0,01/25/2011,3:00:24,,,,,,,99,3,1,11,6,0,2,1,0,20009,wikkit.org
61,856835,73794888,3676292124604,8087271933502976839,,1.0,1,01/10/2011,18:43:26,,,,,,,99,2,4,6,5,1,1,1,0,55433,dermatalskincare.com
62,868095,73874593,3492152676281,16279463642511419670,,35.0,15,01/07/2011,23:10:20,,,,,,,99,4,6,2,1,1,5,1,0,90723,southbeachjava.com
63,868097,73874593,3492152807353,16064930482377606987,health8news.com,2.0,0,01/07/2011,23:10:17,,,,,,,99,4,6,2,1,1,5,1,0,90723,dlxtrack.com
64,868100,73874593,3492153003961,16064930482377606987,,2.0,1,01/07/2011,23:00:37,,,,,,,99,4,6,2,1,1,5,1,0,90723,dlxtrack.com
65,868105,73874593,3492153331641,10133794716842256287,health8news.com,2.0,7,01/07/2011,22:44:06,,,,,,,99,4,6,2,1,1,5,1,0,90723,dlxm.net
66,890646,73947980,3760623914942,1549148620406576784,online6health.com,1.0,1,01/12/2011,1:45:49,,,,,,,99,1,6,8,6,1,2,1,0,2155,getleanspa.com
67,921842,74012718,3640826531793,6212936584531552900,,3.0,10,01/31/2011,22:30:57,,,,,,,99,1,2,6,1,1,5,1,0,10459,homecashflowsolution.com
68,923655,74019202,3680589713350,10093940193322575519,facebook.com,1.0,1,01/20/2011,17:52:21,,,,,,,99,3,6,8,4,1,1,1,0,72703,bigdeal.com
69,944544,74089317,3580432879544,10093940193322575519,,2.0,0,01/06/2011,20:15:57,,,,,,,99,3,2,8,4,1,2,1,0,40218,bigdeal.com
70,956227,74105192,3736387456973,10403549969693689745,news11today.net,2.0,1,01/27/2011,23:29:12,,,,,,,99,3,1,11,3,0,1,1,0,24422,home-online-jobs.org
71,968972,74170919,3756231102412,7405390425689258389,consumerstrickweekly.com,1.0,1,01/26/2011,17:32:41,,,,,,,99,4,5,10,5,1,3,1,0,94589,trackingspot.info
72,977916,74283419,3788479795140,1549148620406576784,,4.0,3,01/18/2011,16:56:57,,,,,,,99,4,2,10,4,0,1,1,0,93401,getleanspa.com
73,993878,74343319,3695365918663,7405390425689258389,fdxat8.com,1.0,1,01/21/2011,20:41:29,,,,,,,99,4,2,9,4,1,5,1,1,91601,trackingspot.info
74,1009322,74384958,3741626470333,479443933691733349,consumertipsdaily7.com,31.0,16,01/11/2011,21:40:08,,,,,,,99,2,2,11,5,0,1,1,0,60545,trytadalafil.com
75,1009323,74384958,3741626535869,16279463642511419670,yahoo.com,18.0,6,01/11/2011,21:48:43,,,,,,,99,2,2,11,5,0,1,1,0,60545,southbeachjava.com
76,1009326,74384958,3741626732477,1549148620406576784,consumertipsdaily7.com,5.0,4,01/11/2011,21:34:56,,,,,,,99,2,2,11,5,0,1,1,0,60545,getleanspa.com
77,1017128,74401613,3524557803449,8087271933502976839,,1.0,1,01/07/2011,0:47:48,,,,,,,99,3,4,9,5,1,1,1,0,27604,dermatalskincare.com
78,1032899,74555650,3879604064195,6212936584531552900,,6.0,21,01/17/2011,12:38:22,,,,,,,99,3,2,9,5,0,1,1,0,32068,homecashflowsolution.com
79,1034499,74556421,3672589144008,10093940193322575519,facebook.com,15.0,4,01/22/2011,8:24:16,,,,,,,99,3,3,2,6,1,2,1,0,29676,bigdeal.com
80,1039903,74561550,3645784330190,10403549969693689745,,2.0,0,01/28/2011,19:00:53,,,,,,,99,2,3,3,2,1,2,1,0,45220,home-online-jobs.org
81,1040257,74561550,3805682864068,10403549969693689745,,11.0,35,01/18/2011,2:24:56,,,,,,,99,2,3,3,2,1,2,1,0,45220,home-online-jobs.org
82,1060617,74691648,3672520265681,6212936584531552900,,3.0,1,01/31/2011,19:30:15,,,,,,,99,3,1,11,1,0,1,1,0,34984,homecashflowsolution.com
83,1081506,74809174,3640535879607,1549148620406576784,,2.0,0,01/05/2011,15:13:26,,,,,,,99,3,5,11,3,0,1,1,0,27217,getleanspa.com
84,1095369,74830084,3822133317572,2749123530820720401,consumertipsonline.net,2.0,2,01/18/2011,0:20:57,,,,,,,99,3,3,10,5,0,1,1,0,79106,fibradetox.com
85,1095370,74830084,3822133383108,1549148620406576784,,6.0,4,01/18/2011,0:16:18,,,,,,,99,3,3,10,5,0,1,1,0,79106,getleanspa.com
86,1111889,74955280,3669999554486,10093940193322575519,google.com,7.0,1,01/04/2011,7:33:38,,,,,,,99,1,4,7,6,0,1,1,0,2151,bigdeal.com
87,1135977,74979043,3815154847679,8087271933502976839,,1.0,1,01/13/2011,14:24:56,,,,,,,99,2,3,1,1,1,5,0,0,45002,dermatalskincare.com
88,1158851,75088846,3816892534719,1354232705423967177,,1.0,0,01/13/2011,23:02:11,,,,,,,99,2,3,11,6,1,1,1,0,46901,theinstantwealthbuilder.com
89,1162817,75090426,3779161231309,10403549969693689745,newsdaily7.com,2.0,0,01/27/2011,18:52:33,,,,,,,99,3,5,8,7,1,1,1,0,38316,home-online-jobs.org
90,1175263,75100081,3692676911057,6212936584531552900,new8reports.com,1.0,1,01/31/2011,4:12:14,,,,,,,99,3,5,4,5,1,1,1,0,21842,homecashflowsolution.com
91,1180717,75109519,3716815392713,6212936584531552900,,3.0,1,01/23/2011,22:18:23,,,,,,,99,4,5,5,6,1,3,1,0,98146,homecashflowsolution.com
92,1258008,75338730,3790509510605,13583168867183700419,,6.0,1,01/27/2011,22:59:35,,,,,,,99,4,3,10,7,0,1,1,0,97141,bizzopheaven.com
93,1271657,75354753,3658738831312,6212936584531552900,cnbcwebsource20.com,3.0,1,01/30/2011,1:43:04,,,,,,,99,2,2,9,4,1,1,1,0,48350,homecashflowsolution.com
94,1277913,75359857,3730913103817,6212936584531552900,,4.0,2,01/23/2011,1:32:46,,,,,,,99,3,5,10,5,1,5,1,0,35984,homecashflowsolution.com
95,1278238,75359857,3795450990541,6212936584531552900,live.com,1.0,0,01/27/2011,2:19:14,,,,,,,99,3,5,10,5,1,5,1,0,35984,homecashflowsolution.com
96,1279461,75363618,3660674371536,13583168867183700419,,5.0,0,01/30/2011,18:17:26,,,,,,,99,4,5,11,5,1,1,1,0,98354,bizzopheaven.com
97,1281221,75434127,3569586933689,8087271933502976839,weeklyinform.com,1.0,1,01/07/2011,19:50:54,,,,,,,99,3,2,10,5,1,1,1,0,28450,dermatalskincare.com
98,1350790,75646289,3585620905913,11385444773187580308,channel9newsreport.com,1.0,1,01/07/2011,22:31:57,,,,,,,99,2,2,11,4,0,1,1,0,49090,wikkit.org
99,1373705,75764711,3766455701447,10093940193322575519,google.com,60.0,13,01/21/2011,21:01:26,,,,,,,99,3,3,3,1,1,2,1,0,35802,bigdeal.com
100,1373728,75764711,3766933196742,10093940193322575519,google.com,11.0,3,01/20/2011,7:39:36,,,,,,,99,3,3,3,1,1,2,1,0,35802,bigdeal.com
101,1373782,75764711,3800953524160,10093940193322575519,tradekey.com,4.0,0,01/14/2011,4:53:49,,,,,,,99,3,3,3,1,1,2,1,0,35802,bigdeal.com
102,1399186,75853472,3778036633542,10093940193322575519,facebook.com,4.0,0,01/20/2011,3:14:03,,,,,,,99,4,5,6,5,1,1,1,1,89121,bigdeal.com
103,1432135,76023446,3706849791927,1549148620406576784,online6health.com,1.0,1,01/05/2011,5:20:04,,,,,,,99,4,4,8,6,0,1,1,0,92708,getleanspa.com
104,1458872,76086575,3856542601164,10093940193322575519,ebay.com,2.0,0,01/26/2011,19:58:08,,,,,,,99,3,5,6,4,1,5,1,0,28604,bigdeal.com
105,1459034,76086575,3879564677054,10093940193322575519,google.com,17.0,12,01/12/2011,21:54:14,,,,,,,99,3,5,6,4,1,5,1,0,28604,bigdeal.com
106,1483202,76172031,3720530038711,8087271933502976839,weeklyinform.com,2.0,0,01/05/2011,23:40:02,,,,,,,99,1,5,10,5,0,1,1,0,18974,dermatalskincare.com
107,1484837,76175267,3686681087951,10403549969693689745,la-sentinel.com,10.0,18,01/29/2011,20:29:17,,,,,,,99,3,2,8,4,0,5,1,1,27604,home-online-jobs.org
108,1518901,76290119,3897425989566,8087271933502976839,,1.0,1,01/12/2011,1:08:18,,,,,,,99,4,5,11,3,1,1,1,0,92545,dermatalskincare.com
109,1557883,76469906,3900944748491,10093940193322575519,doubleclick.net,4.0,1,01/25/2011,8:00:49,,,,,,,99,1,3,4,3,1,2,1,0,12804,bigdeal.com
110,1560150,76472094,3502480428980,479443933691733349,xysclick.com,1.0,1,01/02/2011,18:17:46,,,,,,,99,2,3,11,3,0,1,1,0,46580,trytadalafil.com
111,1561112,76472577,3808387993543,10403549969693689745,classifiedads.com,2.0,0,01/21/2011,21:40:25,,,,,,,99,3,4,4,7,1,1,1,0,39452,home-online-jobs.org
112,1573301,76564832,3737660362683,7405390425689258389,consumer-work-journal.com,1.0,1,01/09/2011,17:16:05,,,,,,,99,4,2,8,1,0,1,1,0,91505,trackingspot.info
113,1589947,76596077,3746032652215,11385444773187580308,shopcompare.net,1.0,0,01/05/2011,14:52:41,,,,,,,99,1,5,8,2,0,2,1,0,2126,wikkit.org
114,1594744,76615687,3770666192822,1549148620406576784,,2.0,2,01/04/2011,21:48:59,,,,,,,99,3,3,10,5,1,1,1,0,29020,getleanspa.com
115,1602386,76620574,3514930171828,1549148620406576784,,2.0,0,01/02/2011,21:51:59,,,,,,,99,1,4,11,5,0,1,1,0,2895,getleanspa.com
116,1602388,76620574,3514930302900,479443933691733349,,5.0,0,01/02/2011,20:10:37,,,,,,,99,1,4,11,5,0,1,1,0,2895,trytadalafil.com
117,1602391,76620574,3514930499508,1549148620406576784,,15.0,24,01/02/2011,19:46:03,,,,,,,99,1,4,11,5,0,1,1,0,2895,getleanspa.com
118,1602397,76620574,3514931023796,479443933691733349,,1.0,1,01/02/2011,19:30:23,,,,,,,99,1,4,11,5,0,1,1,0,2895,trytadalafil.com
119,1603021,76620881,3869759246285,10403549969693689745,news11today.net,7.0,3,01/27/2011,18:03:48,,,,,,,99,3,4,10,5,0,1,1,0,40965,home-online-jobs.org
120,1645979,76681647,3800524918722,10093940193322575519,,2.0,0,01/16/2011,18:25:10,,,,,,,99,2,2,4,2,1,1,0,0,45786,bigdeal.com
121,1682069,76787034,3930799214532,14325437869847223981,mediajmp.com,2.0,3,01/18/2011,15:08:45,,,,,,,99,2,4,3,4,1,5,1,0,61102,eprofits.com
122,1682183,76787270,3776836669366,1549148620406576784,newshealth6.com,5.0,5,01/04/2011,19:37:38,,,,,,,99,2,4,7,7,1,5,1,0,47304,getleanspa.com
123,1682186,76787270,3776836865974,16279463642511419670,newshealth6.com,1.0,0,01/04/2011,19:37:34,,,,,,,99,2,4,7,7,1,5,1,0,47304,southbeachjava.com
124,1682187,76787270,3776836997046,16279463642511419670,newshealth6.com,1.0,0,01/04/2011,18:39:37,,,,,,,99,2,4,7,7,1,5,1,0,47304,southbeachjava.com
125,1687920,76789007,3649395036089,8087271933502976839,,1.0,1,01/07/2011,22:11:44,,,,,,,99,3,99,4,7,1,5,1,1,70669,dermatalskincare.com
126,1693836,76792337,4007656492995,13583168867183700419,,4.0,5,01/17/2011,1:53:39,,,,,,,99,4,5,8,3,1,1,1,0,98683,bizzopheaven.com
127,1706262,76836255,3843957657532,10133794716842256287,health8news.com,1.0,1,01/10/2011,19:50:14,,,,,,,99,2,2,11,6,1,1,1,0,44256,dlxm.net
128,1716860,76844775,3780420177846,1549148620406576784,channelnews9today.com,13.0,22,01/04/2011,18:40:25,,,,,,,99,3,5,7,7,0,1,1,0,33071,getleanspa.com
129,1724957,76887222,3793221128136,16279463642511419670,weeklyinform.com,1.0,0,01/22/2011,17:13:39,,,,,,,99,4,3,11,5,0,1,1,0,85254,southbeachjava.com
130,1733472,76893063,3866170953664,10403549969693689745,newschannel8.tv,6.0,20,01/14/2011,3:26:13,,,,,,,99,3,6,11,7,1,1,1,0,34293,home-online-jobs.org
131,1733545,76893063,3927583821758,6212936584531552900,new8reports.com,1.0,1,01/12/2011,22:52:00,,,,,,,99,3,6,11,7,1,1,1,0,34293,homecashflowsolution.com
132,1733864,76893319,3734434484152,10093940193322575519,aol.com,2.0,0,01/06/2011,15:20:55,,,,,,,99,1,2,8,5,1,1,1,0,13478,bigdeal.com
133,1748771,76912042,3880082739133,8087271933502976839,,1.0,1,01/11/2011,3:18:42,,,,,,,99,4,2,8,6,0,1,1,0,85234,dermatalskincare.com
134,1779810,76943714,3910894227404,10403549969693689745,,5.0,5,01/26/2011,4:39:03,,,,,,,99,3,4,9,5,1,2,1,0,30907,home-online-jobs.org
135,1782200,76945265,3806214623169,4138040089195024334,,1.0,0,01/15/2011,3:44:31,,,,,,,99,1,1,8,5,0,1,1,0,10923,msicourse.com
136,1786636,76948495,3790575505333,10093940193322575519,conduit.com,2.0,0,01/03/2011,4:04:14,,,,,,,99,2,4,4,1,1,5,1,0,61832,bigdeal.com
137,1803715,76962885,3666668425145,10403549969693689745,yahoo.com,5.0,22,01/07/2011,0:58:10,,,,,,,99,3,5,6,1,1,2,0,0,32796,home-online-jobs.org
138,1821062,76976979,3798803484598,10093940193322575519,google.com,3.0,0,01/04/2011,20:07:37,,,,,,,99,3,6,5,3,1,2,1,0,32805,bigdeal.com
139,1835807,76991466,3833447845833,10093940193322575519,incredimail.com,4.0,1,01/23/2011,19:46:32,,,,,,,99,2,4,11,3,1,1,1,0,43952,bigdeal.com
140,1872806,77020567,3675565723577,6212936584531552900,new8reports.com,2.0,3,01/07/2011,1:03:10,,,,,,,99,1,1,4,1,0,1,1,0,18969,homecashflowsolution.com
141,1892416,77239298,3550873784244,10093940193322575519,google.com,5.0,1,01/02/2011,21:24:49,,,,,,,99,3,2,8,6,0,1,1,0,37757,bigdeal.com
142,1895236,77242553,3678357032889,8087271933502976839,,1.0,1,01/07/2011,22:22:32,,,,,,,99,4,2,10,3,1,1,1,1,99611,dermatalskincare.com
143,1900880,77246159,3806413852597,7405390425689258389,consumer-work-journal.com,1.0,1,01/03/2011,5:46:21,,,,,,,99,1,4,8,2,1,1,1,0,14081,trackingspot.info
144,1911291,77288425,3810001424310,10093940193322575519,google.com,3.0,1,01/04/2011,0:35:56,,,,,,,99,1,5,7,3,1,1,1,0,14070,bigdeal.com
145,1929755,77342178,3685788422073,8087271933502976839,,1.0,1,01/07/2011,21:29:06,,,,,,,99,4,5,3,3,1,1,1,0,85602,dermatalskincare.com
146,1944991,77383586,3565293539252,10133794716842256287,health8news.com,1.0,1,01/02/2011,0:27:27,,,,,,,99,3,2,6,1,1,1,1,0,72560,dlxm.net
147,1966714,77430894,3806310502350,7405390425689258389,consumerstrickweekly.com,1.0,1,01/28/2011,19:56:05,,,,,,,99,1,4,7,7,1,1,1,0,16335,trackingspot.info
148,2008380,77573239,3878338695110,4138040089195024334,,1.0,0,01/20/2011,4:39:42,,,,,,,99,4,4,7,5,1,1,1,0,97322,msicourse.com
149,2056492,77734716,3757057314746,10133794716842256287,health8news.com,1.0,1,01/08/2011,1:43:43,,,,,,,99,3,3,7,1,1,2,1,0,70115,dlxm.net
150,2063093,77745087,3941383737293,10403549969693689745,la-sentinel.com,4.0,1,01/27/2011,2:14:47,,,,,,,99,4,2,7,5,1,1,1,0,93561,home-online-jobs.org
151,2065202,77803253,3802852560848,479443933691733349,news8consumerreport.com,4.0,3,01/30/2011,16:42:01,,,,,,,99,3,3,11,1,1,1,1,0,21601,trytadalafil.com
152,2079255,77812135,3827648106446,4138040089195024334,chan7reports.com,1.0,1,01/28/2011,14:46:37,,,,,,,99,1,1,6,2,0,1,1,0,14206,msicourse.com
153,2082003,77817903,3881034977225,479443933691733349,,10.0,1,01/23/2011,19:24:39,,,,,,,99,2,2,9,4,0,1,1,0,45383,trytadalafil.com
154,2097551,77838826,3876950052802,6212936584531552900,new8reports.com,2.0,2,01/16/2011,1:13:04,,,,,,,99,1,6,1,5,1,3,1,0,11235,homecashflowsolution.com
155,2112201,77904017,4084047220675,10093940193322575519,,4.0,60,01/17/2011,3:25:14,,,,,,,99,1,5,9,5,1,2,1,0,11225,bigdeal.com
156,2112202,77904017,4084047286211,10093940193322575519,facebook.com,24.0,124,01/17/2011,1:01:40,,,,,,,99,1,5,9,5,1,2,1,0,11225,bigdeal.com
157,2115779,77906167,3857578725302,10133794716842256287,health8news.com,1.0,1,01/04/2011,15:43:35,,,,,,,99,4,2,1,5,1,2,1,0,89706,dlxm.net
158,2116152,77906221,3999577411518,8087271933502976839,,1.0,1,01/12/2011,4:12:33,,,,,,,99,3,1,11,4,0,1,1,0,78155,dermatalskincare.com
159,2125609,77913682,3860907626449,10093940193322575519,,4.0,1,01/31/2011,0:42:28,,,,,,,99,1,6,10,7,1,2,1,0,4401,bigdeal.com
160,2127868,77914787,3833589993399,8087271933502976839,,1.0,1,01/05/2011,16:29:31,,,,,,,99,1,3,8,6,0,1,1,0,17842,dermatalskincare.com
161,2131290,77951197,3830957543355,7721247640741137834,,2.0,0,01/09/2011,17:35:19,,,,,,,99,4,6,11,1,1,2,1,0,90019,homebizstartupkit.com
