,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name,,Non-Product Domain Referrals,
429256,70953983,3.4614E+12,8.08727E+18,,1,1,1/3/11,1:13:13,,,,,,,99,4,3,8,7,1,1,1,0,80122,dermatalskincare.com,,onlinecareerjournal.com,4
441204,71045245,2.92126E+12,1.33102E+18,,1,1,1/1/11,22:54:18,,,,,,,99,3,3,4,2,1,2,1,0,29940,health8news.com,,habitat.org,4
441203,71045245,2.92126E+12,1.01338E+19,health8news.com,1,1,1/1/11,22:54:22,,,,,,,99,3,3,4,2,1,2,1,0,29940,dlxm.net,,local.com,4
454061,71157972,3.52002E+12,1.38469E+19,btjunkie.org,1,1,1/16/11,19:50:32,,,,,,,99,1,2,7,1,1,2,1,0,11207,news9today.org,,foreclosed-home-listings.net,4
454059,71157972,3.52002E+12,1.04035E+19,news9today.org,5,8,1/16/11,19:50:47,,,,,,,99,1,2,7,1,1,2,1,0,11207,home-online-jobs.org,,theonlinebusiness.com,4
454229,71157972,3.70925E+12,1.04035E+19,,1,1,1/17/11,7:12:34,,,,,,,99,1,2,7,1,1,2,1,0,11207,home-online-jobs.org,,propertyroom.com,4
454792,71158590,3.54933E+12,1.04035E+19,,1,2,1/21/11,20:41:11,,,,,,,99,3,5,4,1,1,1,1,0,27360,home-online-jobs.org,,clickbubbles.net,4
454793,71158590,3.54933E+12,1.04035E+19,,2,0,1/21/11,20:37:05,,,,,,,99,3,5,4,1,1,1,1,0,27360,home-online-jobs.org,,rachaelraysdiet.com,3
454707,71158590,3.51757E+12,1.04035E+19,,2,0,1/22/11,21:18:28,,,,,,,99,3,5,4,1,1,1,1,0,27360,home-online-jobs.org,,gmtracker.com,3
462534,71183029,3.71065E+12,1.54915E+18,online6health.com,1,1,1/17/11,3:07:48,,,,,,,99,3,6,4,5,1,2,1,0,21804,getleanspa.com,,listentoyoutube.com,3
479130,71278306,3.55268E+12,4.13804E+18,onlinecareerjournal.com,1,1,1/21/11,2:24:25,,,,,,,99,4,6,9,4,1,2,1,0,95926,msicourse.com,,ceipmsn.com,3
485180,71343237,3.46026E+12,1.00939E+19,live.com,18,3,1/5/11,0:58:43,,,,,,,99,1,1,5,1,0,5,1,0,6706,bigdeal.com,,the-work-journal.com,3
486559,71345054,3.51978E+12,7.03383E+18,yahoo.com,2,10,1/15/11,10:18:49,,,,,,,99,3,6,3,5,1,1,1,0,77701,rachaelraysdiet.com,,facebook.com,3
486558,71345054,3.51978E+12,5.79942E+18,rachaelraysdiet.com,6,10,1/15/11,10:18:52,,,,,,,99,3,6,3,5,1,1,1,0,77701,redirecting101.com,,redirecting101.com,2
486560,71345054,3.51978E+12,1.54915E+18,,3,9,1/15/11,10:19:09,,,,,,,99,3,6,3,5,1,1,1,0,77701,getleanspa.com,,puzz.com,2
522865,71545290,3.55993E+12,1.04035E+19,,8,8,1/10/11,1:50:07,,,,,,,99,4,2,4,6,0,1,1,0,85742,home-online-jobs.org,,emediatrack.com,2
559226,71759537,3.5681E+12,8.08727E+18,weeklyinform.com,1,1,1/10/11,17:43:34,,,,,,,99,2,3,8,2,0,1,1,0,65674,dermatalskincare.com,,yahoo.com,2
559272,71759537,3.64765E+12,8.08727E+18,weeklyinform.com,2,1,1/13/11,18:13:37,,,,,,,99,2,3,8,2,0,1,1,0,65674,dermatalskincare.com,,cpaprosperity.com,2
561484,71768641,3.26555E+12,1.35423E+18,internetnews10.com,5,4,1/2/11,3:27:34,,,,,,,99,4,2,8,5,1,1,1,0,98277,theinstantwealthbuilder.com,,activechatagent.com,2
566825,71786769,3.49217E+12,8.84369E+18,facebook.com,1,1,1/9/11,18:27:49,,,,,,,99,4,2,11,1,1,1,1,0,83646,weeklyinform.com,,wavee.com,2
566824,71786769,3.49217E+12,8.08727E+18,,1,1,1/9/11,18:27:54,,,,,,,99,4,2,11,1,1,1,1,0,83646,dermatalskincare.com,,securetransferring.com,2
578128,71910849,3.48111E+12,1.00939E+19,google.com,8,1,1/29/11,16:06:52,,,,,,,99,3,5,3,1,1,2,1,0,25704,bigdeal.com,,msn.com,2
599135,72015736,3.44519E+12,1.27806E+19,target.com,1,1,1/8/11,21:07:35,,,,,,,99,2,5,7,7,1,1,1,0,44077,shopcompare.net,,referer.us,2
599134,72015736,3.44519E+12,1.13854E+19,shopcompare.net,1,1,1/8/11,21:07:46,,,,,,,99,2,5,7,7,1,1,1,0,44077,wikkit.org,,safecheckpoint.net,2
628134,72156772,3.62527E+12,1.70627E+19,yahoo.com,1,1,1/11/11,8:14:14,,,,,,,99,3,3,4,7,1,1,1,0,20708,puzz.com,,secureonlinetracking.com,2
628133,72156772,3.62527E+12,1.04035E+19,puzz.com,1,1,1/11/11,8:14:19,,,,,,,99,3,3,4,7,1,1,1,0,20708,home-online-jobs.org,,cxtrack.com,2
628184,72156772,3.62527E+12,1.04035E+19,,3,2,1/11/11,4:22:40,,,,,,,99,3,3,4,7,1,1,1,0,20708,home-online-jobs.org,,coincollectmail.com,2
629001,72156772,3.75843E+12,1.04035E+19,,3,13,1/17/11,4:23:02,,,,,,,99,3,3,4,7,1,1,1,0,20708,home-online-jobs.org,,thetop10.com,2
627972,72156772,3.5944E+12,6.21294E+18,cnbc18.org,3,2,1/21/11,2:46:22,,,,,,,99,3,3,4,7,1,1,1,0,20708,homecashflowsolution.com,,usgovernmentauctions.net,2
630493,72158562,3.62416E+12,1.54915E+18,,2,0,1/14/11,5:12:24,,,,,,,99,2,3,1,2,1,1,1,0,47905,getleanspa.com,,la-sentinel.com,2
644919,72303031,3.62977E+12,1.43254E+19,,3,0,1/11/11,18:21:33,,,,,,,99,4,4,3,7,1,1,1,0,80127,eprofits.com,,ask.com,2
644931,72303031,3.62977E+12,6.21294E+18,new8reports.com,2,1,1/11/11,17:42:19,,,,,,,99,4,4,3,7,1,1,1,0,80127,homecashflowsolution.com,,looking4leaders.org,2
644933,72303031,3.62977E+12,4.13804E+18,onlinecareerjournal.com,4,8,1/11/11,14:48:50,,,,,,,99,4,4,3,7,1,1,1,0,80127,msicourse.com,,youtube.com,2
